INFO  - 2020-06-30 14:48:57.657; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2020-06-30 14:48:57.787; org.apache.solr.core.CoreContainer; Creating SolrCore 'collection1' using configuration from instancedir D:\WorkSpace\solr\solrHome\collection1\
INFO  - 2020-06-30 14:48:57.846; org.apache.solr.core.SolrCore; solr.NRTCachingDirectoryFactory
INFO  - 2020-06-30 14:48:57.866; org.apache.solr.core.SolrCore; [collection1] Opening new SolrCore at D:\WorkSpace\solr\solrHome\collection1\, dataDir=D:\WorkSpace\solr\solrHome\collection1\data\
INFO  - 2020-06-30 14:48:57.869; org.apache.solr.core.JmxMonitoredMap; JMX monitoring is enabled. Adding Solr mbeans to JMX Server: com.sun.jmx.mbeanserver.JmxMBeanServer@e73f9ac
INFO  - 2020-06-30 14:48:57.929; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for newSearcher: org.apache.solr.core.QuerySenderListener{queries=[]}
INFO  - 2020-06-30 14:48:57.929; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for firstSearcher: org.apache.solr.core.QuerySenderListener{queries=[{q=static firstSearcher warming in solrconfig.xml}]}
INFO  - 2020-06-30 14:48:57.969; org.apache.solr.core.CachingDirectoryFactory; return new directory for D:\WorkSpace\solr\solrHome\collection1\data
INFO  - 2020-06-30 14:48:57.973; org.apache.solr.core.SolrCore; New index directory detected: old=null new=D:\WorkSpace\solr\solrHome\collection1\data\index/
INFO  - 2020-06-30 14:48:57.976; org.apache.solr.core.CachingDirectoryFactory; return new directory for D:\WorkSpace\solr\solrHome\collection1\data\index
INFO  - 2020-06-30 14:48:58.004; org.apache.solr.core.SolrCore; created json: solr.JSONResponseWriter
INFO  - 2020-06-30 14:48:58.004; org.apache.solr.core.SolrCore; adding lazy queryResponseWriter: solr.VelocityResponseWriter
INFO  - 2020-06-30 14:48:58.006; org.apache.solr.core.SolrCore; created velocity: solr.VelocityResponseWriter
INFO  - 2020-06-30 14:48:58.018; org.apache.solr.core.SolrCore; created xslt: solr.XSLTResponseWriter
INFO  - 2020-06-30 14:48:58.018; org.apache.solr.response.XSLTResponseWriter; xsltCacheLifetimeSeconds=5
INFO  - 2020-06-30 14:48:58.286; org.apache.solr.core.SolrCore; no updateRequestProcessorChain defined as default, creating implicit default
INFO  - 2020-06-30 14:48:58.305; org.apache.solr.core.RequestHandlers; created /update: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2020-06-30 14:48:58.307; org.apache.solr.core.RequestHandlers; created /update/json: org.apache.solr.handler.UpdateRequestHandler
